id,E,N,H,lon,lat,h
NCM01,18355,109251,3052,,,
NCM02,18933,110751,3043.1,,,
NCM04,19926,113449,3141.1,,,
NE018,16750,108419,2770.2,,,
NE022,15816,106952,2845.9,,,
NE024,16277,106643,2764.1,,,
NE025,17168,105765,3037.5,,,
NE027,17780,107515,3064.8,,,
NE029,25601,110158,3139,,,
NE030,16060,106512,2980.6,,,
NE032,17081,106018,2900.3,,,
NE036,15971,106421,2959,,,
NE042,18368,107184,3077.1,,,
NE043,18212,107275,3075,,,
NE060,16341,109584,3077.8,,,
NE061,17120,108481,2951.3,,,
NE065,20788,107917,3042.1,,,
NE066,16123,109009,2822.6,,,
NE069,16302,110717,3265,,,
NE071,16501,110253,3237,,,
NE073,17141,107878,2834.7,,,
NE080,14762,110696,3248.4,,,
NE082,21132,108168,3039.8,,,
NE107,16314,106186,2921.1,,,
NE131,17449,107775,2910.5,,,
NE138,15390,106979,3030,,,
NE144,15866,106143,3070,,,
NE184,18173,107316,3076.8,,,
NE187,18827,107471,3086.1,,,
NE192,18788,107380,3082.1,,,
NE195,18924,107629,3088.7,,,
NE200,19013,107892,3082.9,,,
NE210,18255,109110,3059,,,
NE222,19074,108521,3064.6,,,
NE233,18828,108850,3058.7,,,
NE240,21694,108766,3054.3,,,
NE244,22401,108740,3058.2,,,
NE251,23069,109101,3056.8,,,
NE268,16092,109884,3102.1,,,
NE269,18953,108188,3079.6,,,
NE270,19613,107126,3072.8,,,
NE278,21385,108393,3037,,,
NE309,18148,106763,3047.2,,,
NN002,19335,113860,3080.2,,,
NN011,19242,113141,3140.8,,,
NN030,19480,113599,3185,,,
NN070,18983,113972,2847.5,,,
NN075,19711,114416,3041.3,,,
NN156,20609,113496,3115.4,,,
NN163,19969,114350,3130.9,,,
NN169,21290,112869,3084.8,,,
NN175,21849,112473,3084.9,,,
NN178,20344,113717,3131.5,,,
NN204,23598,109525,3061.3,,,
NN32,18304,112501,3255,,,
NP001,22501,111933,3088.1,,,
NP005,24305,110046,3064,,,
NP018,22899,111145,3081.6,,,
NP019,23136,110404,3076.8,,,
