id,lon,lat,h
NCM01,-69.0510397,-24.25720849,3087.8868
NCM02,-69.04534489,-24.24367482,3079.0313
NCM04,-69.03556368,-24.21933155,3177.1117
NE018,-69.06684153,-24.26470926,2806.0701
NE022,-69.0760439,-24.27794237,2881.7288
NE024,-69.07150748,-24.28073322,2799.916
NE025,-69.06274058,-24.28866055,3073.2822
NE027,-69.05670727,-24.27287156,3100.6346
NE029,-68.97972096,-24.24903541,3174.8706
NE030,-69.07364449,-24.28191419,3016.4132
NE032,-69.06359579,-24.28637711,2936.0909
NE036,-69.07452119,-24.28273488,2994.8108
NE042,-69.05092052,-24.27586085,3112.9203
NE043,-69.0524558,-24.27503907,3110.8242
NE060,-69.0708608,-24.25419439,3113.71
NE061,-69.06319924,-24.26415156,2987.1698
NE065,-69.02709608,-24.26925393,3077.9287
NE066,-69.07300978,-24.25938197,2858.4929
NE069,-69.07123822,-24.24397013,3300.9467
NE071,-69.06928232,-24.24815823,3272.9305
NE073,-69.06299561,-24.26959304,2870.5503
NE080,-69.08639439,-24.24415085,3284.3556
NE082,-69.02370932,-24.26698971,3075.6346
NE107,-69.07114583,-24.2848573,2956.9011
NE131,-69.0599643,-24.27052391,2946.345
NE138,-69.08023735,-24.27769632,3065.8323
NE144,-69.07555653,-24.28524293,3105.8025
NE184,-69.05283953,-24.27466893,3112.6258
NE187,-69.04640098,-24.27327273,3121.9267
NE192,-69.04678525,-24.27409376,3117.924
NE195,-69.04544552,-24.27184731,3124.5311
NE200,-69.04456843,-24.26947435,3118.739
NE210,-69.05202457,-24.25848046,3094.8829
NE222,-69.04396561,-24.26379855,3100.4588
NE233,-69.04638572,-24.26082883,3094.5709
NE240,-69.01817621,-24.26159454,3090.1503
NE244,-69.01121729,-24.26183026,3094.0451
NE251,-69.00464185,-24.25857339,3092.6525
NE268,-69.0733098,-24.25148591,3138.0212
NE269,-69.04515791,-24.26680307,3115.4489
NE270,-69.0386649,-24.27638859,3108.6107
NE278,-69.02121847,-24.26495986,3072.8403
NE309,-69.05308806,-24.27965902,3083.0082
NN002,-69.04137746,-24.21562089,3116.2286
NN011,-69.04229514,-24.22210877,3176.8061
NN030,-69.03995165,-24.2179766,3221.0193
NN070,-69.0448405,-24.21460901,2883.5344
NN075,-69.037676,-24.21060478,3077.3441
NN156,-69.02884305,-24.21890926,3151.409
NN163,-69.03513774,-24.21120112,3166.9404
NN169,-69.02214364,-24.22456879,3120.7846
NN175,-69.01664376,-24.22814329,3120.8684
NN178,-69.03144992,-24.2169143,3167.5177
NN204,-68.9994348,-24.25474766,3097.1628
NN32,-69.05152771,-24.22788066,3290.9914
NP001,-69.01022859,-24.23301716,3124.047
NP005,-68.99247616,-24.25004647,3099.8751
NP018,-69.00631285,-24.24012843,3117.5192
NP019,-69.00398116,-24.24681535,3112.6939
