Point,Easting,Northing,h
NCM01,18354.999496457654,109251.0000046938,3087.8868
NCM02,18932.999997110066,110751.00072107851,3079.0313
NCM04,19926.000243361435,113448.9995919286,3177.1117
NE018,16750.00026028753,108418.99976328325,2806.0701
NE022,15815.999290989019,106951.99950232811,2881.7288
NE024,16277.000300509884,106642.99893214129,2799.916
NE025,17168.000017050126,105764.99922813932,3073.2822
NE027,17780.00043349006,107514.99974208654,3100.6346
NE029,25600.9986102988,110157.99987450149,3174.8706
NE030,16059.999644104493,106511.99926179506,3016.4132
NE032,17081.000494279702,106017.9995381044,2936.0909
NE036,15970.999530483436,106420.99913499165,2994.8108
NE042,18368.000480152255,107184.00021915341,3112.9203
NE043,18211.99972859258,107274.99961130654,3110.8242
NE060,16340.99999133145,109583.99982821634,3113.71
NE061,17120.000105746927,108480.99975473931,2987.1698
NE065,20788.000091678576,107917.00023359171,3077.9287
NE066,16122.999478871017,109008.9995710063,2858.4929
NE069,16301.99934746399,110717.00046585548,3300.9467
NE071,16500.99920814406,110253.00094917662,3272.9305
NE073,17141.000192709034,107878.000112109,2870.5503
NE080,14761.999202816052,110696.00085731524,3284.3556
NE082,21132.00042006291,108168.00073436652,3075.6346
NE107,16314.000535934738,106185.99960804691,2956.9011
NE131,17449.000198933485,107774.99980324523,2946.345
NE138,15389.99980546545,106978.99903089862,3065.8323
NE144,15865.999986047547,106142.99944817228,3105.8025
NE184,18173.000239088567,107316.00027559458,3112.6258
NE187,18827.00052560021,107470.99988423174,3121.9267
NE192,18788.000494630232,107379.99979105352,3117.924
NE195,18924.000291446617,107628.99969742268,3124.5311
NE200,19013.00016919242,107891.999661718,3118.739
NE210,18254.99947980073,109110.00018867177,3094.8829
NE222,19074.00014236776,108521.00029150354,3100.4588
NE233,18828.000232483082,108850.00058203538,3094.5709
NE240,21693.999262192327,108766.00091089882,3090.1503
NE244,22400.999613496682,108740.0006230992,3094.0451
NE251,23068.998975346236,109101.00058627904,3092.6525
NE268,16091.999970112098,109884.0006639536,3138.0212
NE269,18952.999661449132,108188.00063655582,3115.4489
NE270,19612.999895713394,107126.00015148756,3108.6107
NE278,21385.00023582705,108393.0009435627,3072.8403
NE309,18148.00058785743,106762.99970959239,3083.0082
NN002,19335.000622845855,113860.00002651989,3116.2286
NN011,19242.000781190276,113141.00066572124,3176.8061
NN030,19480.001045075755,113599.00011421285,3221.0193
NN070,18983.000697622636,113972.00085734278,2883.5344
NN075,19711.000886894573,114415.99988088134,3077.3441
NN156,20609.00014675632,113495.99971018027,3151.409
NN163,19969.001024326644,114350.00012254075,3166.9404
NN169,21290.000100196892,112868.99919982921,3120.7846
NN175,21848.999859199197,112472.9997168286,3120.8684
NN178,20344.000350851336,113716.99951524017,3167.5177
NN204,23597.999041345498,109525.00042254776,3097.1628
NN32,18304.00079465831,112501.0004800749,3290.9914
NP001,22500.99989523797,111932.99920657207,3124.047
NP005,24304.99849261348,110045.99974386675,3099.8751
NP018,22898.999612062784,111145.00019528,3117.5192
NP019,23135.99978014623,110404.00002242948,3112.6939
